key,instantiationUpdateMoment,displayStart,displayFinish,linkPicture,slogan,linkTarget
banner-01,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner01.com,slogan,http://HellowWorldbanner01.com
banner-02,2000/01/01 00:00,2000/01/01 00:05,2000/01/09 00:05,http://HellowWorldbanner02.com,slogan,http://HellowWorldbanner02.com
banner-03,2000/12/20 00:00,2000/01/20 00:05,2000/12/30 00:05,http://HellowWorldbanner03.com,slogan,http://HellowWorldbanner03.com
banner-04,2020/12/20 00:00,2200/01/20 00:05,2200/12/30 00:05,http://04.com,slogan,http://HellowWorldbanner04.com
banner-05,2010/12/20 00:00,2200/01/20 00:05,2200/12/30 00:05,http://HellowWorldbanner05.com-----------------------------------------------------------,slogan,http://HellowWorldbanner05.com
banner-06,2021/12/20 00:00,2200/01/20 00:05,2200/12/30 00:05,http://H中e-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------llowWorldbanner06.com,slogan,http://HellowWorldbanner06.com
banner-07,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner07.com,s,http://HellowWorldbanner07.com
banner-08,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner08.com,slogan-----------------------------------------------------,http://HellowWorldbanner08.com
banner-09,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner09.com,sبlog--------------------------------------------------------------------an,http://HellowWorldbanner09.com
banner-10,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HellowWorldbanner10.com,slogan,http://10.com
banner-11,2020/06/05 23:00,2020/06/07 23:00,2020/06/17 23:00,http://HдellowWorldbanner11.com,slogan,http://Hell----------------------owWorldbanner11.com
