key,code,moment,start,finish,amount,type,email,link,key:project,key:sponsor
sponsorships-01,AAA-111,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-02,AAA-222,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,Financial,sponsorship2@acmesf.com,http://HellowWorldsponsorship-02,project-01,sponsor-01
sponsorships-03,AAA-333,2004/04/04 09:05,2004/05/04 09:05,2004/07/04 09:05,3,Financial,sponsorship3@acmesf.com,http://HellowWorldsponsorship-03,project-01,sponsor-01
sponsorships-04,AAA-444,2003/05/06 18:40,2003/06/06 18:40,2003/08/06 18:40,3,Financial,sponsorship4@acmesf.com,http://HellowWorldsponsorship-04,project-01,sponsor-01
sponsorships-05,AAA-555,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,Financial,sponsorship5@acmesf.com,http://HellowWorldsponsorship-05,project-01,sponsor-01
sponsorships-06,AAA-666,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,1,Financial,sponsorship6@acmesf.com,http://HellowWorldsponsorship-06,project-01,sponsor-01
sponsorships-07,AAA-777,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,90,Financial,sponsorship7@acmesf.com,http://HellowWorldsponsorship-07,project-01,sponsor-01
sponsorships-08,AAA-888,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,InKind,sponsorship8@acmesf.com,http://HellowWorldsponsorship-08,project-01,sponsor-01
sponsorships-09,AAA-999,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,InKind,9@acmesf.com,http://HellowWorldsponsorship-09,project-01,sponsor-01
sponsorships-10,AAA-010,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,InKind,sponsor10@acmesf.com,http://HellowWorldsponsor-10,project-01,sponsor-01
sponsorships-11,AAA-011,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,InKind,sponsor11@acmesf.com,http://11,project-01,sponsor-01
sponsorships-12,AAA-012,2022/02/13 16:48,2022/03/13 16:48,2022/05/13 16:48,3,InKind,sponsor12@acmesf.com,http://HellowWorld好sponsor-12----------------------------------------------------------,project-01,sponsor-01
