key,code,start,finish,location,instructor,contactEmail,link,key:trainingModule
training-session-01,"TS-ABC-123","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-02,"TS-A-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-03,"TS-A-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-03
training-session-04,"TS-AB-123","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-04
training-session-05,"TS-AB-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-05
training-session-06,"TS-AB-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-06
training-session-07,"TS-ABC-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-07
training-session-08,"TS-ABC-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-08
training-session-09,"TS-AB-001","2020/07/07 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-09
training-session-10,"TS-AB-002","2009/08/07 13:18","2009/08/17 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-10
training-session-11,"TS-AB-003","2020/07/08 19:59","2020/07/19 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-11
training-session-12,"TS-AB-004","2020/07/08 19:59","2020/07/17 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-12
training-session-13,"TS-AB-005","2020/07/08 19:59","2020/07/18 17:46","L","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-13
training-session-14,"TS-AB-006","2020/07/08 19:59","2020/07/18 17:46","L--------------------------------------------------------------------------","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-14
training-session-15,"TS-AB-007","2020/07/08 19:59","2020/07/18 17:46","Location","I","trainingModule@acmesf.com","http://AcmeSF",training-module-15
training-session-16,"TS-AB-008","2020/07/08 19:59","2020/07/18 17:46","Location","I--------------------------------------------------------------------------","trainingModule@acmesf.com","http://AcmeSF",training-module-16
training-session-17,"TS-AB-009","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingM@acmesf.com","http://AcmeSF",training-module-17
